"index","county","zstunt"
1,"baringo",-1.33620000168681
2,"bomet",-1.45666667464755
3,"bungoma",-1.46622549600023
4,"busia",-0.809081620935883
5,"elgeyo-marakwet",-1.59392155765318
6,"embu",-0.616388892703172
7,"garissa",-0.769450555135916
8,"homa bay",-1.08165289383105
9,"kajiado",-0.310833329645296
10,"kakamega",-1.28136986370951
11,"kericho",-1.49758619898609
12,"kiambu",-1.19348039347496
13,"kilifi",-1.77852941492901
14,"kirinyaga",-0.59156249393709
15,"kisii",-1.21556391089426
16,"kisumu",-0.786421053758577
17,"kitui",-1.56067414939655
18,"kwale",-1.6618674636134
19,"laikipia",-1.27714286303642
20,"lamu",-0.299130434413319
21,"machakos",-1.52262295210032
22,"makueni",-1.47625766877382
23,"mandera",-0.444776108849849
24,"marsabit",-1.1871428525164
25,"meru",-1.03905661200296
26,"migori",-0.97707317587806
27,"mombasa",-0.917716537770911
28,"murang'a",-1.28494047678431
29,"nairobi",-0.711454968585463
30,"nakuru",-1.55827868839756
31,"nandi",-1.5491489378458
32,"narok",-1.23082644998843
33,"tharaka-nithi",-1.34862385608188
34,"nyamira",-1.32058823426418
35,"nyandarua",-1.49608695709511
36,"nyeri",-1.01297029646316
37,"samburu",-1.47451613639151
38,"siaya",-1.21895832647958
39,"taita taveta",-0.915135131091685
40,"tana river",-1.51814815277855
41,"trans nzoia",-1.29390242677636
42,"turkana",-0.476874988991767
43,"uasin gishu",-0.925571427148368
44,"vihiga",-1.28775862109815
45,"wajir",-0.960338988641309
46,"west pokot",-2.02474999818951
47,"isiolo",NA
